Filter No.,Freq [kHz],A2_2kHz,A2_4kHz,A2_6kHz,A2_8kHz,B1_2kHz,B1_4kHz,B1_6kHz,B1_8kHz,A3_2kHz,A3_4kHz,A3_6kHz,A3_8kHz
1,180,D14F,D18E,D127,D0D9,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
2,181.2,D21D,D260,D1F1,D19F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
3,182.4,D2EE,D336,D2BF,D269,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
4,183.6,D3C4,D410,D391,D337,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
5,184.8,D49E,D4EE,D467,D409,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
6,186,D57C,D5D0,D541,D4DE,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
7,187.2,D65E,D6B7,D620,D5B8,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
8,188.4,D744,D7A1,D702,D695,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
9,189.6,D82E,D88F,D7E7,D776,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
10,190.8,D91B,D981,D8D1,D85B,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
11,192,DA0D,DA77,D9BE,D944,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
12,193.2,DB02,DB71,DAAF,DA30,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
13,194.4,DBFB,DC6F,DBA4,DB20,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
14,195.6,DCF7,DD70,DC9C,DC13,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
15,196.8,DDF8,DE75,DD98,DD0A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
16,198,DEFC,DF7E,DE98,DE05,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
17,199.2,E003,E08B,DF9B,DF02,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
18,200.4,E10E,E19B,E0A1,E004,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
19,201.6,E21C,E2AE,E1AB,E108,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
20,202.8,E32E,E3C5,E2B9,E210,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
21,204,E443,E4E0,E3C9,E31B,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
22,205.2,E55C,E5FE,E4DD,E42A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
23,206.4,E678,E71F,E5F4,E53B,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
24,207.6,E797,E844,E70F,E650,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
25,208.8,E8BA,E96B,E82D,E768,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
26,210,E9DF,EA97,E94D,E883,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
27,211.2,EB08,EBC5,EA71,E9A1,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
28,212.4,EC34,ECF7,EB98,EAC2,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
29,213.6,ED63,EE2C,ECC2,EBE6,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
30,214.8,EE95,EF63,EDEF,ED0D,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
31,216,EFCA,F09E,EF1F,EE37,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
32,217.2,F102,F1DC,F052,EF64,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
33,218.4,F23D,F31D,F188,F093,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
34,219.6,F37B,F461,F2C0,F1C6,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
35,220.8,F4BB,F5A8,F3FB,F2FA,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
36,222,F5FF,F6F1,F53A,F432,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
37,223.2,F745,F83E,F67A,F56C,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
38,224.4,F88E,F98D,F7BE,F6A9,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
39,225.6,F9D9,FADF,F904,F7E9,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
40,226.8,FB28,FC34,FA4C,F92A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
41,228,FC79,FD8B,FB97,FA6F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
42,229.2,FDCC,FEE5,FCE5,FBB6,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
43,230.4,FF22,40,FE35,FCFF,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
44,231.6,79,19F,FF88,FE4A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
45,232.8,1D4,301,DC,FF98,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
46,234,331,465,233,E8,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
47,235.2,491,5CB,38C,23A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
48,236.4,5F2,734,4E8,38E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
49,237.6,756,89F,646,4E5,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
50,238.8,8BD,A0D,7A6,63E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
51,240,A25,B7C,909,799,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
52,241.2,B90,CEE,A6D,8F6,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
53,242.4,CFD,E62,BD4,A55,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
54,243.6,E6C,FD8,D3C,BB6,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
55,244.8,FDC,1151,EA7,D19,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
56,246,114F,12CB,1013,E7D,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
57,247.2,12C4,1447,1181,FE4,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
58,248.4,143B,15C6,12F2,114C,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
59,249.6,15B3,1746,1464,12B6,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
60,250.8,172E,18C8,15D7,1422,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
61,252,18AA,1A4C,174D,158F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
62,253.2,1A28,1BD2,18C4,16FE,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
63,254.4,1BA7,1D59,1A3D,186F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
64,255.6,1D29,1EE2,1BB7,19E1,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
65,256.8,1EAC,206D,1D33,1B54,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
66,258,2030,21FA,1EB1,1CCA,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
67,259.2,21B6,2388,2030,1E40,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
68,260.4,233E,2518,21B0,1FB8,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
69,261.6,24C7,26A9,2332,2131,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
70,262.8,2651,283C,24B5,22AC,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
71,264,27DD,29D0,263A,2428,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
72,265.2,296A,2B66,27C0,25A5,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
73,266.4,2AF9,2CFD,2947,2723,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
74,267.6,2C88,2E95,2ACF,28A2,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
75,268.8,2E19,302E,2C59,2A23,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
76,270,2FAB,31C9,2DE3,2BA4,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
77,271.2,313F,3365,2F6F,2D27,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
78,272.4,32D3,3502,30FC,2EAA,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
79,273.6,3468,36A1,3289,302F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
80,274.8,35FF,3840,3418,31B4,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
81,276,3796,39E0,35A8,333A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
82,277.2,392E,3B82,3738,34C1,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
83,278.4,3AC8,3D24,38C9,3649,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
84,279.6,3C62,3EC8,3A5C,37D2,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
85,280.8,3DFD,406C,3BEE,395B,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
86,282,3F98,4211,3D82,3AE5,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
87,283.2,4135,43B6,3F16,3C6F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
88,284.4,42D2,455D,40AB,3DFB,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
89,285.6,446F,4704,4241,3F86,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
90,286.8,460E,48AC,43D7,4112,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
91,288,47AD,4A55,456E,429F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
92,289.2,494C,4BFE,4705,442C,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
93,290.4,4AEC,4DA8,489C,45B9,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
94,291.6,4C8D,4F52,4A34,4747,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
95,292.8,4E2D,50FD,4BCC,48D5,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
96,294,4FCE,52A8,4D65,4A63,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
97,295.2,5170,5453,4EFE,4BF1,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
98,296.4,5312,55FF,5097,4D80,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
99,297.6,54B4,57AB,5230,4F0F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
100,298.8,5656,5958,53CA,509E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
101,300,57F9,5B05,5564,522D,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
102,301.2,599B,5CB1,56FD,53BB,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
103,302.4,5B3E,5E5E,5897,554A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
104,303.6,5CE0,600C,5A31,56D9,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
105,304.8,5E83,61B9,5BCA,5868,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
106,306,6026,6366,5D64,59F6,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
107,307.2,61C8,6513,5EFD,5B84,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
108,308.4,636B,66C0,6096,5D13,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
109,309.6,650D,686D,622F,5EA0,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
110,310.8,66AF,6A1A,63C8,602E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
111,312,6851,6BC7,6561,61BB,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
112,313.2,69F3,6D74,66F9,6348,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
113,314.4,6B94,6F20,6891,64D4,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
114,315.6,6D35,70CC,6A28,6660,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
115,316.8,6ED5,7278,6BBF,67EB,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
116,318,7075,7423,6D56,6976,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
117,319.2,7215,75CE,6EEB,6B00,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
118,320.4,73B4,7778,7081,6C8A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
119,321.6,7553,7922,7216,6E12,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
120,322.8,76F0,7ACC,73AA,6F9A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
121,324,788E,7C74,753D,7122,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
122,325.2,7A2A,7E1D,76D0,72A8,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
123,326.4,7BC6,7FC4,7862,742E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
124,327.6,7D61,816B,79F3,75B3,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
125,328.8,7EFC,8311,7B83,7737,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
126,330,8095,84B6,7D12,78BA,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
127,331.2,822E,865B,7EA1,7A3C,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
128,332.4,83C5,87FF,802E,7BBD,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
129,333.6,855C,89A1,81BA,7D3C,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
130,334.8,86F2,8B43,8346,7EBB,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
131,336,8886,8CE4,84D0,8039,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
132,337.2,8A1A,8E84,8659,81B5,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
133,338.4,8BAC,9022,87E1,8330,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
134,339.6,8D3E,91C0,8967,84AA,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
135,340.8,8ECE,935C,8AED,8622,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
136,342,905C,94F8,8C71,8799,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
137,343.2,91EA,9692,8DF4,890F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
138,344.4,9376,982B,8F75,8A83,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
139,345.6,9501,99C2,90F5,8BF6,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
140,346.8,968A,9B58,9274,8D67,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
141,348,9812,9CED,93F1,8ED7,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
142,349.2,9999,9E80,956C,9045,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
143,350.4,9B1E,A012,96E6,91B1,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
144,351.6,9CA1,A1A2,985E,931C,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
145,352.8,9E23,A331,99D5,9485,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
146,354,9FA3,A4BE,9B4A,95EC,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
147,355.2,A121,A64A,9CBD,9752,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
148,356.4,A29E,A7D4,9E2E,98B5,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
149,357.6,A419,A95C,9F9E,9A17,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
150,358.8,A592,AAE2,A10B,9B76,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
151,360,A709,AC67,A277,9CD4,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
152,361.2,A87F,ADEA,A3E1,9E30,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
153,362.4,A9F2,AF6B,A549,9F8A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
154,363.6,AB63,B0EA,A6AF,A0E1,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
155,364.8,ACD3,B267,A812,A237,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
156,366,AE40,B3E2,A974,A38A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
157,367.2,AFAB,B55B,AAD3,A4DB,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
158,368.4,B115,B6D2,AC31,A62A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
159,369.6,B27C,B847,AD8C,A776,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
160,370.8,B3E0,B9BA,AEE5,A8C0,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
161,372,B543,BB2A,B03B,AA08,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
162,373.2,B6A3,BC98,B18F,AB4E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
163,374.4,B801,BE04,B2E1,AC90,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
164,375.6,B95C,BF6E,B430,ADD1,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
165,376.8,BAB5,C0D5,B57D,AF0F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
166,378,BC0C,C23A,B6C7,B04A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
167,379.2,BD60,C39D,B80F,B183,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
168,380.4,BEB1,C4FD,B954,B2B9,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
169,381.6,C000,C65A,BA97,B3EC,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
170,382.8,C14D,C7B5,BBD6,B51D,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
171,384,C296,C90E,BD14,B64A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
172,385.2,C3DD,CA63,BE4E,B775,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
173,386.4,C521,CBB6,BF85,B89D,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
174,387.6,C663,CD07,C0BA,B9C3,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
175,388.8,C7A1,CE54,C1EC,BAE5,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
176,390,C8DD,CF9F,C31B,BC04,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
177,391.2,CA16,D0E7,C447,BD20,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
178,392.4,CB4C,D22C,C570,BE39,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
179,393.6,CC7F,D36E,C696,BF50,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
180,394.8,CDAF,D4AD,C7B9,C062,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
181,396,CEDB,D5E9,C8D8,C172,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
182,397.2,D005,D722,C9F5,C27F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
183,398.4,D12C,D858,CB0E,C388,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
184,399.6,D24F,D98B,CC25,C48E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
185,400.8,D36F,DABB,CD37,C591,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
186,402,D48C,DBE7,CE47,C690,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
187,403.2,D5A6,DD10,CF53,C78B,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
188,404.4,D6BC,DE36,D05C,C884,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
189,405.6,D7CF,DF59,D161,C979,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
190,406.8,D8DE,E078,D263,CA6A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
191,408,D9EA,E194,D361,CB57,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
192,409.2,DAF2,E2AC,D45C,CC42,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
193,410.4,DBF7,E3C1,D553,CD28,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
194,411.6,DCF8,E4D3,D647,CE0A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
195,412.8,DDF6,E5E0,D736,CEE9,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
196,414,DEF0,E6EB,D823,CFC4,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
197,415.2,DFE6,E7F1,D90B,D09C,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
198,416.4,E0D9,E8F4,D9EF,D16F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
199,417.6,E1C7,E9F3,DAD0,D23F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
200,418.8,E2B2,EAEE,DBAD,D30A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
201,420,E399,EBE6,DC86,D3D2,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
202,421.2,E47C,ECDA,DD5A,D495,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
203,422.4,E55B,EDC9,DE2B,D555,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
204,423.6,E636,EEB5,DEF8,D610,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
205,424.8,E70D,EF9D,DFC1,D6C7,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
206,426,E7E0,F081,E085,D77A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
207,427.2,E8AF,F161,E146,D829,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
208,428.4,E97A,F23C,E202,D8D3,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
209,429.6,EA40,F314,E2BA,D979,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
210,430.8,EB03,F3E7,E36E,DA1B,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
211,432,EBC1,F4B6,E41D,DAB8,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
212,433.2,EC7A,F581,E4C8,DB51,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
213,434.4,ED30,F648,E56E,DBE6,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
214,435.6,EDE1,F70A,E610,DC75,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
215,436.8,EE8D,F7C8,E6AE,DD01,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
216,438,EF35,F882,E747,DD88,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
217,439.2,EFD8,F937,E7DC,DE0A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
218,440.4,F077,F9E7,E86B,DE87,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
219,441.6,F112,FA93,E8F7,DF00,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
220,442.8,F1A7,FB3A,E97D,DF74,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
221,444,F238,FBDD,E9FF,DFE3,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
222,445.2,F2C4,FC7B,EA7C,E04D,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
223,446.4,F34C,FD15,EAF4,E0B3,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
224,447.6,F3CF,FDA9,EB67,E113,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
225,448.8,F44C,FE39,EBD6,E16E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
226,450,F4C5,FEC4,EC3F,E1C5,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
227,451.2,F539,FF4A,ECA4,E216,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
228,452.4,F5A8,FFCC,ED03,E263,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
229,453.6,F612,0048,ED5E,E2AA,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
230,454.8,F677,00BF,EDB3,E2EC,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
231,456,F6D7,0132,EE03,E329,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
232,457.2,F732,019F,EE4E,E361,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
233,458.4,F787,0207,EE94,E393,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
234,459.6,F7D8,026A,EED4,E3C0,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
235,460.8,F823,02C8,EF0F,E3E8,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
236,462,F869,0320,EF45,E40A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
237,463.2,F8A9,0374,EF76,E427,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
238,464.4,F8E4,03C2,EFA1,E43E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
239,465.6,F91A,040A,EFC6,E450,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
240,466.8,F94A,044E,EFE6,E45C,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
241,468,F975,048C,F001,E462,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
242,469.2,F99A,04C4,F016,E463,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
243,470.4,F9BA,04F7,F025,E45E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
244,471.6,F9D4,0524,F02F,E454,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
245,472.8,F9E8,054C,F033,E444,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
246,474,F9F7,056E,F031,E42E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
247,475.2,FA00,058A,F029,E412,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
248,476.4,FA03,05A1,F01C,E3F0,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
249,477.6,FA01,05B2,F009,E3C8,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
250,478.8,F9F8,05BD,EFEF,E39A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
251,480,F9EA,05C2,EFD0,E366,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
